Lat,Long,City,Country,Temperature,Humidity,Cloudiness,Wind,groups
-27.83,25.91,hoopstad,za,68.04,18,0,6.06,3
47.08,4.75,beaune,fr,85.06,39,0,17.22,2
6.12,81.12,hambantota,lk,82.4,83,20,10.29,2
0.53,72.93,thinadhoo,mv,83.03,76,47,11.48,4
26.54,-77.06,marsh harbour,bs,84.56,66,69,6.29,5
7.42,81.82,kalmunai,lk,83.52,67,95,4.59,3
-20.34,57.76,bambous virieux,mu,71.78,68,75,11.41,1
47.1,-56.38,miquelon,pm,64.2,77,20,25.28,2
67.47,78.7,tazovskiy,ru,46.6,85,69,10.25,1
17.08,122.42,dicabisagan,ph,79.57,82,9,8.19,4
-19.98,57.61,cap malheureux,mu,72.0,68,38,5.01,2
46.95,128.88,langxiang,cn,47.75,92,63,3.22,1
-23.46,-46.53,guarulhos,br,86.63,33,13,6.93,5
36.04,-114.98,henderson,us,78.66,14,1,9.17,5
5.03,118.33,lahad datu,my,79.61,81,100,7.31,4
4.93,-52.33,cayenne,gf,91.4,55,47,5.82,3
8.87,5.42,lafiagi,ng,85.1,74,74,3.22,4
66.94,-53.67,sisimiut,gl,39.2,71,82,3.33,3
24.14,67.45,keti bandar,pk,84.94,80,0,12.73,4
-42.88,147.33,hobart,au,36.64,80,0,11.41,3
17.02,-25.06,porto novo,cv,87.8,66,40,12.75,4
49.2,119.7,hailar,cn,48.13,92,100,15.3,2
56.35,25.56,viesite,lv,49.32,84,100,14.0,5
71.69,128.87,tiksi,ru,47.8,76,100,16.15,2
-2.02,147.27,lorengau,pg,81.23,81,95,9.71,5
32.38,15.09,misratah,ly,81.73,61,0,16.42,1
-22.97,-42.03,arraial do cabo,br,86.77,51,2,14.99,2
62.46,-114.35,yellowknife,ca,38.23,93,20,4.7,3
-12.91,45.19,bandrele,yt,78.8,65,14,4.7,2
-32.72,25.59,somerset east,za,64.6,37,0,7.81,4
46.92,-98.0,valley city,us,53.6,87,90,5.57,2
30.48,-115.95,san quintin,mx,85.41,32,0,7.74,1
62.14,117.63,suntar,ru,43.48,92,1,2.62,3
70.37,31.11,vardo,no,45.5,65,56,4.7,5
65.42,-52.9,maniitsoq,gl,38.91,72,35,3.04,3
14.11,-15.55,kaffrine,sn,91.2,60,55,13.89,5
-0.13,-67.09,sao gabriel da cachoeira,br,86.0,70,20,2.24,4
61.36,63.58,sovetskiy,ru,48.79,72,100,10.29,5
38.42,77.24,shache,cn,69.1,23,71,7.65,2
-23.86,35.38,inhambane,mz,78.4,88,40,4.7,4
-28.78,32.04,richards bay,za,67.46,70,36,7.02,1
56.91,118.26,chara,ru,43.77,70,94,5.21,1
-17.88,15.07,ongandjera,na,90.48,12,0,1.39,3
65.75,150.85,zyryanka,ru,39.47,86,90,6.91,4
15.74,-96.47,pochutla,mx,85.66,70,75,2.19,1
-4.59,15.17,kasangulu,cd,74.35,83,75,6.93,4
59.7,30.79,nikolskoye,ru,48.06,81,75,8.95,4
-2.57,150.8,kavieng,pg,82.49,78,71,10.33,1
6.37,126.17,pundaguitan,ph,82.22,69,30,2.68,3
33.74,-118.39,rancho palos verdes,us,68.94,62,49,1.01,2
-1.77,-55.87,oriximina,br,98.26,32,0,5.32,5
